Epoch = 141, Iter= 159, Average Epoch Loss= 0.0514885732
Epoch = 142, Iter= 159, Average Epoch Loss= 0.0506626186
Epoch = 143, Iter= 159, Average Epoch Loss= 0.0498841819
Epoch = 144, Iter= 159, Average Epoch Loss= 0.0491577628
Epoch = 145, Iter= 159, Average Epoch Loss= 0.0484714199
Epoch = 146, Iter= 159, Average Epoch Loss= 0.0478235945
Epoch = 147, Iter= 159, Average Epoch Loss= 0.0472158864
Epoch = 148, Iter= 159, Average Epoch Loss= 0.0466419088
Epoch = 149, Iter= 159, Average Epoch Loss= 0.0461029518
Epoch = 150, Iter= 159, Average Epoch Loss= 0.0455949266
Epoch = 151, Iter= 159, Average Epoch Loss= 0.0451167866
Epoch = 152, Iter= 159, Average Epoch Loss= 0.0446666237
Epoch = 153, Iter= 159, Average Epoch Loss= 0.0442424506
Epoch = 154, Iter= 159, Average Epoch Loss= 0.0438392509
Epoch = 155, Iter= 159, Average Epoch Loss= 0.0434611430
Epoch = 156, Iter= 159, Average Epoch Loss= 0.0431072886
Epoch = 157, Iter= 159, Average Epoch Loss= 0.0427717226
Epoch = 158, Iter= 159, Average Epoch Loss= 0.0424501822
Epoch = 159, Iter= 159, Average Epoch Loss= 0.0421546713
Epoch = 160, Iter= 159, Average Epoch Loss= 0.0418708521
Epoch = 161, Iter= 159, Average Epoch Loss= 0.0416022869
Epoch = 162, Iter= 159, Average Epoch Loss= 0.0413507901
Epoch = 163, Iter= 159, Average Epoch Loss= 0.0411117156
Epoch = 164, Iter= 159, Average Epoch Loss= 0.0408869574
Epoch = 165, Iter= 159, Average Epoch Loss= 0.0406711158
Epoch = 166, Iter= 159, Average Epoch Loss= 0.0404710094
Epoch = 167, Iter= 159, Average Epoch Loss= 0.0402795424
Epoch = 168, Iter= 159, Average Epoch Loss= 0.0400975003
Epoch = 169, Iter= 159, Average Epoch Loss= 0.0399240462
Epoch = 170, Iter= 159, Average Epoch Loss= 0.0397612165
Epoch = 171, Iter= 159, Average Epoch Loss= 0.0396043264
Epoch = 172, Iter= 159, Average Epoch Loss= 0.0394581053
Epoch = 173, Iter= 159, Average Epoch Loss= 0.0393221472
Epoch = 174, Iter= 159, Average Epoch Loss= 0.0391901851
Epoch = 175, Iter= 159, Average Epoch Loss= 0.0390616040
Epoch = 176, Iter= 159, Average Epoch Loss= 0.0389455707
Epoch = 177, Iter= 159, Average Epoch Loss= 0.0388323292
Epoch = 178, Iter= 159, Average Epoch Loss= 0.0387203487
Epoch = 179, Iter= 159, Average Epoch Loss= 0.0386202026
Epoch = 180, Iter= 159, Average Epoch Loss= 0.0385284852
Epoch = 181, Iter= 159, Average Epoch Loss= 0.0384332291
Epoch = 182, Iter= 159, Average Epoch Loss= 0.0383442864
Epoch = 183, Iter= 159, Average Epoch Loss= 0.0382613191
Epoch = 184, Iter= 159, Average Epoch Loss= 0.0381793476
Epoch = 185, Iter= 159, Average Epoch Loss= 0.0380958033
Epoch = 186, Iter= 159, Average Epoch Loss= 0.0380219196
Epoch = 187, Iter= 159, Average Epoch Loss= 0.0379533454
Epoch = 188, Iter= 159, Average Epoch Loss= 0.0378843188
Epoch = 189, Iter= 159, Average Epoch Loss= 0.0378180079
Epoch = 190, Iter= 159, Average Epoch Loss= 0.0377557423
Epoch = 191, Iter= 159, Average Epoch Loss= 0.0376925665
Epoch = 192, Iter= 159, Average Epoch Loss= 0.0376348840
Epoch = 193, Iter= 159, Average Epoch Loss= 0.0375788115
Epoch = 194, Iter= 159, Average Epoch Loss= 0.0375279474
Epoch = 195, Iter= 159, Average Epoch Loss= 0.0374774134
Epoch = 196, Iter= 159, Average Epoch Loss= 0.0374282117
Epoch = 197, Iter= 159, Average Epoch Loss= 0.0373856669
Epoch = 198, Iter= 159, Average Epoch Loss= 0.0373410144
Epoch = 199, Iter= 159, Average Epoch Loss= 0.0372980073
Epoch = 200, Iter= 159, Average Epoch Loss= 0.0372560838
Epoch = 201, Iter= 159, Average Epoch Loss= 0.0372143831
Epoch = 202, Iter= 159, Average Epoch Loss= 0.0371789617
Epoch = 203, Iter= 159, Average Epoch Loss= 0.0371409728
Epoch = 204, Iter= 159, Average Epoch Loss= 0.0371037769
Epoch = 205, Iter= 159, Average Epoch Loss= 0.0370696524
Epoch = 206, Iter= 159, Average Epoch Loss= 0.0370373773
Epoch = 207, Iter= 159, Average Epoch Loss= 0.0370076541
Epoch = 208, Iter= 159, Average Epoch Loss= 0.0369745207
Epoch = 209, Iter= 159, Average Epoch Loss= 0.0369457006
Epoch = 210, Iter= 159, Average Epoch Loss= 0.0369178472
Epoch = 211, Iter= 159, Average Epoch Loss= 0.0368892260
Epoch = 212, Iter= 159, Average Epoch Loss= 0.0368610161
Epoch = 213, Iter= 159, Average Epoch Loss= 0.0368351374
Epoch = 214, Iter= 159, Average Epoch Loss= 0.0368080065
Epoch = 215, Iter= 159, Average Epoch Loss= 0.0367822178
Epoch = 216, Iter= 159, Average Epoch Loss= 0.0367608536
Epoch = 217, Iter= 159, Average Epoch Loss= 0.0367376544
Epoch = 218, Iter= 159, Average Epoch Loss= 0.0367137560
Epoch = 219, Iter= 159, Average Epoch Loss= 0.0366915315
Epoch = 220, Iter= 159, Average Epoch Loss= 0.0366677871
Epoch = 221, Iter= 159, Average Epoch Loss= 0.0366497257
Epoch = 222, Iter= 159, Average Epoch Loss= 0.0366286142
Epoch = 223, Iter= 159, Average Epoch Loss= 0.0366079270
Epoch = 224, Iter= 159, Average Epoch Loss= 0.0365870980
Epoch = 225, Iter= 159, Average Epoch Loss= 0.0365620345
Epoch = 226, Iter= 159, Average Epoch Loss= 0.0365430023
Epoch = 227, Iter= 159, Average Epoch Loss= 0.0365263584
Epoch = 228, Iter= 159, Average Epoch Loss= 0.0365076662
Epoch = 229, Iter= 159, Average Epoch Loss= 0.0364816484
Epoch = 230, Iter= 159, Average Epoch Loss= 0.0364621467
Epoch = 231, Iter= 159, Average Epoch Loss= 0.0364424273
Epoch = 232, Iter= 159, Average Epoch Loss= 0.0364206806
Epoch = 233, Iter= 159, Average Epoch Loss= 0.0364103800
Epoch = 234, Iter= 159, Average Epoch Loss= 0.0363897456
Epoch = 235, Iter= 159, Average Epoch Loss= 0.0363696103
Epoch = 236, Iter= 159, Average Epoch Loss= 0.0363558708
Epoch = 237, Iter= 159, Average Epoch Loss= 0.0363370102
Epoch = 238, Iter= 159, Average Epoch Loss= 0.0363149998
Epoch = 239, Iter= 159, Average Epoch Loss= 0.0362967837
Epoch = 240, Iter= 159, Average Epoch Loss= 0.0362807199
Epoch = 241, Iter= 159, Average Epoch Loss= 0.0362654690
Epoch = 242, Iter= 159, Average Epoch Loss= 0.0362453870
Epoch = 243, Iter= 159, Average Epoch Loss= 0.0362275431
Epoch = 244, Iter= 159, Average Epoch Loss= 0.0362087561
Epoch = 245, Iter= 159, Average Epoch Loss= 0.0361862472
Epoch = 246, Iter= 159, Average Epoch Loss= 0.0361626244
Epoch = 247, Iter= 159, Average Epoch Loss= 0.0361427484
Epoch = 248, Iter= 159, Average Epoch Loss= 0.0361141648
Epoch = 249, Iter= 159, Average Epoch Loss= 0.0360904544
Epoch = 250, Iter= 159, Average Epoch Loss= 0.0360569809
Epoch = 251, Iter= 159, Average Epoch Loss= 0.0360271247
Epoch = 252, Iter= 159, Average Epoch Loss= 0.0359972341
Epoch = 253, Iter= 159, Average Epoch Loss= 0.0359633562
